#
# AVO Labels File
#
# $Id: labels.txt,v 1.1 2005-09-03 19:18:35 dcervelli Exp $

Akutan	-165.9861	54.1344
Amak	-163.149	55.424
Amukta	-171.2522	52.5
Aniakchak	-158.1522	56.8819
Atka	-174.15	52.38
Augustine	-153.4333	59.3633
Bogoslof	-168.03	53.9294
Carlisle	-170.0542	52.8939
Chiginagak	-156.99	57.135
Cleveland	-169.9431	52.8232
Dutton	-162.2717	55.168
Fisher	-164.4811	54.6789
Gareloi	-178.7939	51.7903
Great Sitkin	-176.13	52.076
Iliamna	-153.0903	60.0319
Isanotski	-163.7225	54.765
Kagamil	-169.7167	52.9736
Kanaga	-177.1678	51.9228
Kasatochi	-175.5083	52.1775
Katmai	-154.9633	58.2797
Kiska	177.3914	52.1063
Little Sitkin	178.4811	51.95
Mageik	-155.2528	58.1947
Makushin	-166.9228	53.8908
Martin	-155.3611	58.1722
Novarupta	-155.1567	58.2667
Okmok	-168.1792	53.4056
Pavlof	-161.8875	55.4167
Redoubt	-152.7419	60.4853
Seguam	-172.52	52.32
Semisopochnoi	179.631	51.956
Shishaldin	-163.9667	54.7556
Spurr	-152.2511	61.2994
Tanaga	-178.1458	51.885
Trident	-155.1	58.2356
Ugashik-Peulik	-156.21	57.75
Ukinrek Maars	-156.5097	57.8317
Veniaminof	-159.3883	56.1956
Vsevidof	-168.6931	53.13
Westdahl	-164.65	54.5183
Wrangell	-144.01	62
Yunaska	-170.6286	52.6428

ACH	-155.3260	58.2107
ADAG	-176.6017	51.9802
AHB	-165.8157	54.1153
AJAX	-158.2215	56.8895
AK2	-165.7783	54.1242
AK4	-165.7317	54.1100
AK5	-165.8650	54.1552
AKBB	-165.9318	54.0984
AKGG	-165.9916	54.1988
AKLV	-165.9556	54.1627
AKMO	-166.0106	54.0912
AKRB	-166.0688	54.1301
AKS	-165.6967	54.1104
AKT	-165.7700	54.1358
AKV	-165.9627	54.1262
ANCK	-155.4940	58.1988
ANIA	-158.2293	56.9056
ANNE	-158.0589	56.9127
ANNW	-158.2149	56.9664
ANON	-158.1716	56.9198
ANPB	-158.2808	56.8024
ANPK	-158.1262	56.8417
ANSL	-158.1362	56.9324
AUC	-153.4245	59.3599
AUD	-153.4265	59.3626
AUE	-153.3751	59.3718
AUH	-153.4432	59.3639
AUI	-153.4277	59.3352
AUL	-153.4357	59.3823
AUL	-153.4357	59.3823
AUP	-153.4204	59.3634
AUR	-153.4313	59.3628
AUS	-153.4307	59.3600
AUW	-153.4708	59.3701
AZAC	-158.2307	56.8955
BGL	-152.389	61.2669
BGM	-155.2293	59.3927
BGR	-152.4177	60.7575
BKG	-152.2627	61.0702
BLDY	-162.7836	55.1945
BLHA	-162.0651	55.7038
BPBC	-158.4526	56.5897
BRPK	-163.7408	54.6455
CAHL	-155.3015	58.0525
CDD	-153.6426	58.9295
CGL	-152.0067	61.3077
CKL	-152.3378	61.194
CKN	-152.1815	61.2240
CKT	-152.2062	61.2008
CNP	-151.2348	59.5259
CNTC	-155.8837	58.2645
CP2	-152.2418	61.2642
CRP	-152.1555	61.2670
DFR	-152.6860	60.5919
DOL	-161.8614	55.1493
DRR3	-162.2611	54.9669
DT1	-162.2781	55.1071
DTN	-162.2570	55.1457
ETKA	-176.4059	51.8619
GAEA	-178.7468	51.7830
GAKI	-178.8121	51.5545
GALA	-178.7715	51.7617
GANE	-178.7767	51.8189
GANO	-178.8038	51.8203
GASW	-178.8546	51.7789
GSCK	-176.1620	52.0119
GSIG	-175.9250	51.9864
GSMY	-176.0563	52.0432
GSSP	-176.1757	52.0928
GSTD	-176.1448	52.0559
GSTR	-176.0591	52.0943
HAG	-161.9025	55.3178
HOM	-151.6433	59.6583
HSB	-165.9124	54.1868
ILI	-152.9584	60.0813
ILS	-153.0681	59.9576
ILW	-153.1370	60.0598
INE	-153.0625	60.0608
ISNN	-163.7784	54.8323
ISTK	-163.7063	54.7321
IVE	-153.0163	60.0169
IVS	-153.0808	60.0092
KABR	-154.9692	58.1312
KABU	-155.2822	58.2709
KAHC	-155.0060	58.6490
KAHG	-154.5463	58.4940
KAIC	-155.0458	58.4850
KAKN	-155.0611	58.2970
KAPH	-154.3468	58.5968
KARR	-154.7033	58.4978
KAWH	-154.7992	58.3837
KBM	-155.2017	58.2750
KCE	-155.1833	58.2433
KCG	-155.1114	58.3076
KEL	-155.7407	58.4400
KICM	-177.1953	51.9189
KIKV	-177.1704	51.8788
KIMD	-177.2349	51.7616
KINC	-177.1276	51.9314
KIRH	-177.0935	51.8996
KIWB	-177.1508	51.8531
KJL	-155.5732	58.0540
KOFP	-174.0972	52.2751
KOKL	-174.2002	52.3232
KOKV	-174.1653	52.3614
KONE	-174.1193	52.3936
KONW	-174.2105	52.3965
KOSE	-174.0485	52.3458
KOWE	-174.2507	52.3657
KVT	-155.2950	58.3817
LVA	-166.0338	54.1609
MCIR	-166.8918	53.9513
MGLS	-155.1608	58.1343
MGOD	-166.8725	53.7947
MMN	-154.3367	59.1852
MNAT	-166.6833	53.8838
MREP	-166.7456	53.8105
MSOM	-166.9365	53.8163
MSW	-166.7827	53.9147
